FY2016 Pest Lists																	
																	
Scientific Name	Common Name	Pests of Economic and Environmental Importance	Asian Defoliator	Corn	Cotton	Cyst Nematode	EWB/BB	Grape	Mollusk	Oak	Palm	Pine	Small Grains	Solanaceous	Soybean	Stone Fruit	Tropical Hosts
Pieris brassicae 	Large white butterfly	X															
Pityogenes chalcographus	Six-toothed spruce bark beetle						X										
Platypus quercivorus	Oak ambrosia beetle	X					X			X							
Potyvirus plum pox virus	Plum pox															X	
Pseudocercospora pini-densiflorae	Needle blight of pine	X										X					
Pseudopezicula tracheiphila	Rotbrenner	X						X									
Punctodera chalcoensis	Mexican corn cyst nematode			X		X											
Raffaelea quercivora	Japanese oak wilt	X								X							
Ralstonia solanacearum race 3 biovar 2 	Bacterial wilt	X												X			
Raoiella indica 	Red palm mite										X						
Rhabdoscelus obscurus 	New Guinea sugarcane weevil										X						
Rhagoletis cerasi	European cherry fruit fly															X	
Rhynchophorus ferrugineus	Red palm weevil										X						
Rhynchophorus palmarum 	South American palm weevil										X						
Sarasinula spp. 	No common name, leatherleaf slugs	X							X								
Sclerophthora rayssiae var. zeae	Brown stripe downy mildew			X													
Scolytus intricatus	European oak bark beetle						X			X							
Semperula spp. 	No common name, leatherleaf slugs	X							X								
Spodoptera littoralis	Egyptian cottonworm	X		X	X			X		X			X	X	X		
Spodoptera litura	Cotton cutworm	X		X	X			X						X			
Stenoma catenifer	Avocado seed moth																X
Synchytrium endobioticum 	Potato wart													X			
Tecia solanivora	Guatemalan potato tuber moth	X												X			
Tetranychus roseus	No common name, a spider mite	X															
Tetropium castaneum	Black spruce beetle						X										
Tetropium fuscum	Brown spruce longhorned beetle						X										
Thaumatotibia leucotreta	False codling moth	X		X	X			X		X				X		X	
Thaumetopoea processionea	Oak processionary moth	X								X							
Tomicus destruens	Pine shoot beetle	X					X					X					
Tomicus minor	Lesser pine shoot beetle						X										
Tomicus piniperda	Pine shoot beetle						X										
Tortrix viridana	Green oak tortrix									X							
Tremex fuscicornis	Tremex woodwasp	X								X							
Trichoferus campestris	Velvet longhorned beetle						X										
Trogoderma granarium	Khapra beetle	X															
Trypodendron domesticum	European hardwood ambrosia beetle						X										
Tuta absoluta	Tomato leafminer	X												X			
Unaspis yanonensis	Arrowhead scale	X															
Veronicella spp. 	No common name, leatherleaf slugs	X							X								
Xanthomonas  oryzaepv. oryzicola	Bacterial leaf streak	X															
Xanthomonas oryzae v. oryzae	Bacterial blight	X															
Xyleborus glabratus	Redbay ambrosia beetle						X										
