sourceTaxonName	sourceTaxonNameCommon	interactionTypeId	interactionTypeName	targetTaxonName	referenceCitation	referenceUrl
Tomicus minor	Lesser pine shoot beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tomicus piniperda	Pine shoot beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Trichoferus campestris	Velvet longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Trypodendron domesticum	European hardwood ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Xyleborus glabratus	Redbay ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Exotic Wood Borer/Bark Beetle	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Dendrolimus pini	Pine-tree lappet	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Dendrolimus punctatus	Masson pine moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Dendrolimus sibiricus	Siberian silk moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria albescens	Okinawa gypsy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria dispar asiatica	Asian gypsy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria dispar japonica	Japanese gypsy moth 	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria mathura	Rosy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria monacha	Nun moth 	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria postalba	White-winged gypsy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria umbrosa	Hokkaido gypsy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria xylina 	Casuarina tussock moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Asian Defoliator	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Autographa gamma	Silver Y moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Chilo suppressalis	Asiatic rice borer	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Diabrotica speciosa	Cucurbit beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Harpophora maydis	Late wilt of corn	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Helicoverpa armigera	Old world bollworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heteronychus arator	Black maize beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Peronosclerospora maydis	Java downy mildew	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Peronosclerospora philippinensis	Philippine downy mildew	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Punctodera chalcoensis	Mexican corn cyst nematode	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Sclerophthora rayssiae var. zeae	Brown stripe downy mildew	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera littoralis	Egyptian cottonworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera litura	Cotton cutworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Thaumatotibia leucotreta	False codling moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Corn	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Anthonomus grandis 	Boll weevil	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Autographa gamma	Silver Y moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Eutetranychus orientalis	Citrus brown mite	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Helicoverpa armigera	Old world bollworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Oxycarenus hyalinipennis	Cotton seed bug	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Pectinophora gossypiella	Pink bollworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera littoralis	Egyptian cottonworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera litura	Cotton cutworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Thaumatotibia leucotreta	False codling moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Cotton	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Globodera pallida		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Globodera rostochiensis		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heterodera cajani		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heterodera ciceri		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heterodera filipjevi		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heterodera latipons		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heterodera sacchari		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Punctodera chalcoensis		http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Nematode	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Autographa gamma	Silver Y moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Brevipalpus chilensis	Chilean false red mite	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Candidatus Phytoplasma australiense 16SrXII-B	Australian grapevine yellows	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Candidatus Phytoplasma solani 16SrXII-A	Bois noir; Stolbur	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Candidatus Phytoplasma vitis 16SrV-C 	Flavescence dorée	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Cryptoblabes gnidiella 	Honeydew moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Epiphyas postvittana	Light brown apple moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Eupoecilia ambiguella	European grape berry moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Heteronychus arator	Black maize beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lobesia botrana	European grape vine moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lycorma delicatula	Spotted lanternfly	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Pseudopezicula tracheiphila	Rotbrenner	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera littoralis	Egyptian cottonworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Grape	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
