																																																																					
Scientific Name	Common Name	Alfalfa	Almond	Apple*	Apricot	Avocado*	Banana	Barley	Bean, fresh	Blackberry; Boysenberry; Raspberry	Blueberry*	Broccoli	Cabbage	Cacao (cocoa bean)	Canola	Carrot	Cauliflower	Chickpea	Cherry*	Citrus	Clover	Coffee	Corn	Cotton	Cowpea	Cucumber	Eggplant	Fig	Garlic	Grape	Kale	Leek	Lettuce	Macadamia	Mango	Mustard	Oak*	Oats	Onion	Palm (coconut palm, oil palm, etc.)	Papaya	Pea, fresh	Peach, Nectarine	Peanut	Pear	Pepper	Pigeon pea	Pine*	Plum	Pomegranate	Potato	Pumpkin, Squash/ Zucchini	Rice	Rye	Sorghum	Soybean	Spinach	Strawberry	Sugarcane	Sunflower	Sweet potato	Taro	Tobacco	Tomato	Walnut*	Watermelon	Wheat	Pest Commodity Total	Notes
Mamestra brassicae	Cabbage moth											▲	▲				▲																									▲																										4	
Massicus raddei	Mountain oak longhorned beetle																																				▲																															1	
Megaplatypus mutatus	No common name, an ambrosia beetle			▲																																																													▲			2	
Meloidogyne artiellia	British root-knot nematode																	▲																																																	▲	2	
Meloidogyne fallax	False Columbia root-knot nematode 																																																		▲																	1	
Meloidogyne minor	Root-knot nematode 																																																		▲																	1	
Metamasius hemipterus	West Indian cane weevil						▲																																																				▲									2	
Monilia polystroma 	Asiatic brown rot			▲	▲														▲																								▲		▲				▲																			6	Often found in mixed infections, specific damage is unclear.
Monilinia fructigena 	Brown rot, Apple brown rot			▲	▲														▲																								▲		▲				▲																			6	
Monochamus alternatus	Japanese pine sawyer																																															▲																				1	
Monochamus saltuarius	Sakhalin pine sawyer																																															▲																				1	
Monochamus sutor	Small white-marmorated longhorned beetle																																															▲																				1	
Monochamus urussovii	Black fir sawyer																																															▲																				1	
Neofusicoccum mangiferae	Mango fruit rot					▲																													▲																																	2	
Neoleucinodes elegantalis	Tomato fruit borer																										▲																			▲																		▲				3	
Nepovirus Tomato black ring virus	Tomato black ring (TBRV)																																																									▲										1	
Nysius huttoni	Wheat bug											▲									▲																																														▲	3	
Orthotomicus erosus	Mediterraneran pine engraver																																															▲																				1	
Oryctes rhinoceros 	Coconut rhinoceros beetle																																							▲																												1	
Oxycarenus hyalinipennis	Cotton seed bug																							▲																																												1	
Panolis flammea	Pine beauty moth																																															▲																				1	
Paratachardina pseudolobata	Lobate lac scale																																		▲																																	1	
Paysandisia archon	South American palm borer																																							▲																												1	
Pectinophora gossypiella	Pink bollworm																							▲																																												1	
Peronosclerospora maydis	Java downy mildew																						▲																																													1	
Peronosclerospora philippinensis	Philippine downy mildew																						▲																																				▲									2	
Phytomyza gymnostoma 	Onion leafminer																												▲			▲							▲																													3	
Phytophthora quercina	Oak decline																																				▲																															1	
Pieris brassicae 	Large white butterfly												▲				▲																																																			2	
Platypus quercivorus	Oak ambrosia beetle																																				▲																															1	
